s_(um) X_pre Y_pre X_post Y_post D_normal
37.2773768573 37.2406932227 0.5026009861 37.2029660166 0.6489438674 0.1463860912
37.4891801349 37.4524963607 0.5028441105 37.4123063926 0.6811500065 0.1783519117
37.7009834125 37.6642994988 0.5030872349 37.6216467685 0.7133561456 0.2103177323
37.9127866901 37.8761026369 0.5033303593 37.8313386160 0.7409662663 0.2376871340
38.1245899677 38.0879057749 0.5035734837 38.0431418936 0.7409662663 0.2374440096
38.3363932453 38.2997089130 0.5038166081 38.2549451712 0.7409662663 0.2372008852
38.5481965229 38.5115120510 0.5040597325 38.4667484488 0.7409662663 0.2369577609
38.7599998005 38.7233151891 0.5043028569 38.6784372691 0.7446324421 0.2418159744
38.9718030781 38.9343499999 0.5196033069 38.8898280694 0.7578444801 0.2411992454
39.1836063557 39.1450777910 0.5409205877 39.1012188697 0.7710565180 0.2330656385
39.3954096333 39.3561138657 0.5561962670 39.3126096700 0.7842685560 0.2295144299
39.6072129109 39.5679170038 0.5564393914 39.5239495608 0.7860256805 0.2296366072
39.8190161885 39.7797201418 0.5566825158 39.7352145752 0.7709352170 0.2143036471
40.0308194661 39.9915232799 0.5569256402 39.9464795896 0.7558447535 0.1989706870
40.2426227437 40.2033264180 0.5571687646 40.1577418878 0.7412133458 0.1840967854
40.4544260213 40.4151295560 0.5574118890 40.3688135338 0.7588027928 0.2014439363
40.6662292989 40.6269326941 0.5576550134 40.5798851798 0.7763922399 0.2187910873
40.8780325765 40.8387358321 0.5578981378 40.7908975741 0.7945912450 0.2367478638
41.0898358541 41.0505389702 0.5581412622 41.0014053844 0.8179812048 0.2598961709
41.3016391317 41.2623421083 0.5583843866 41.2119131946 0.8413711647 0.2830444780
41.5134424093 41.4741452463 0.5586275110 41.4236096277 0.8433002663 0.2847305765
41.7252456869 41.6859483844 0.5588706354 41.6354129053 0.8433002663 0.2844874521
41.9370489645 41.8977515224 0.5591137598 41.8472161829 0.8433002663 0.2842443277
42.1488522421 42.1095546605 0.5593568842 42.0590194605 0.8433002663 0.2840012033
